Complexity,Loss,Equation
2,222.72896,"exp(3.786221)"
3,164.96182,"0.5773801 * x0"
5,46.04036,"x0 + (-5.253564 * x1)"
7,12.423834,"x0 + (-0.06852938 * (x0 * x1))"
8,6.1479926,"x0 + (sin(-0.07379177 * x1) * x0)"
9,2.0151863,"(sin(sin(-0.07955159 * x1)) * x0) + x0"
10,0.29493782,"x0 + (sin(sin(sin(-0.08565858 * x1))) * x0)"
12,0.054912444,"x0 + ((sin(sin(sin(x1 * -0.07946292))) + -0.02332559) * x0)"
16,0.0340579,"(x0 + (sin(sin(sin(-0.08610636 * x1))) * x0)) + sin(sin(-0.6142072 * x1))"
17,0.02759879,"(x0 + (sin(sin(sin(-0.08610636 * x1))) * x0)) + sin(sin(sin(-0.6142072 * x1)))"
18,0.024017632,"(x0 + (sin(sin(sin(-0.08610636 * x1))) * x0)) + sin(sin(-0.6142072 * x1) * 0.78180563)"
19,0.023541823,"(x0 + (sin(sin(sin(sin(-0.08610636) * x1))) * x0)) + sin(sin(-0.6142072 * x1) * 0.78180563)"
